year,week,region,loc,state,number,population,incidence_ratio
1928,1,South,2,AL,0,2640000,0
1928,2,South,2,AL,0,2640000,0
1928,3,South,2,AL,1,2640000,0.04
1928,4,South,2,AL,0,2640000,0
1928,5,South,2,AL,0,2640000,0
1928,6,South,2,AL,0,2640000,0
1928,7,South,2,AL,2,2640000,0.08
1928,8,South,2,AL,3,2640000,0.11
1928,9,South,2,AL,0,2640000,0
1928,10,South,2,AL,0,2640000,0
1928,11,South,2,AL,1,2640000,0.04
1928,12,South,2,AL,1,2640000,0.04
1928,13,South,2,AL,0,2640000,0
1928,14,South,2,AL,0,2640000,0
1928,15,South,2,AL,2,2640000,0.08
1928,16,South,2,AL,2,2640000,0.08
1928,17,South,2,AL,0,2640000,0
1928,18,South,2,AL,0,2640000,0
1928,19,South,2,AL,3,2640000,0.11
1928,20,South,2,AL,1,2640000,0.04
1928,21,South,2,AL,0,2640000,0
1928,22,South,2,AL,1,2640000,0.04
1928,23,South,2,AL,0,2640000,0
1928,24,South,2,AL,0,2640000,0
1928,25,South,2,AL,0,2640000,0
1928,26,South,2,AL,1,2640000,0.04
1928,27,South,2,AL,2,2640000,0.08
1928,28,South,2,AL,1,2640000,0.04
1928,29,South,2,AL,1,2640000,0.04
1928,30,South,2,AL,2,2640000,0.08
1928,31,South,2,AL,1,2640000,0.04
1928,32,South,2,AL,2,2640000,0.08
1928,33,South,2,AL,1,2640000,0.04
1928,34,South,2,AL,0,2640000,0
1928,35,South,2,AL,1,2640000,0.04
1928,36,South,2,AL,1,2640000,0.04
1928,37,South,2,AL,3,2640000,0.11
1928,38,South,2,AL,3,2640000,0.11
1928,39,South,2,AL,4,2640000,0.15
1928,40,South,2,AL,6,2640000,0.23
1928,41,South,2,AL,5,2640000,0.19
1928,42,South,2,AL,0,2640000,0
1928,43,South,2,AL,3,2640000,0.11
1928,44,South,2,AL,2,2640000,0.08
1928,45,South,2,AL,4,2640000,0.15
1928,46,South,2,AL,0,2640000,0
1928,47,South,2,AL,0,2640000,0
1928,48,South,2,AL,0,2640000,0
1928,49,South,2,AL,0,2640000,0
1928,50,South,2,AL,0,2640000,0
1928,51,South,2,AL,2,2640000,0.08
1928,52,South,2,AL,0,2640000,0
1929,1,South,2,AL,0,2644000,0
1929,2,South,2,AL,0,2644000,0
1929,3,South,2,AL,0,2644000,0
1929,4,South,2,AL,0,2644000,0
1929,5,South,2,AL,0,2644000,0
1929,6,South,2,AL,0,2644000,0
1929,7,South,2,AL,0,2644000,0
1929,8,South,2,AL,4,2644000,0.15
1929,9,South,2,AL,1,2644000,0.04
1929,10,South,2,AL,0,2644000,0
1929,11,South,2,AL,0,2644000,0
